MOLECULE,ROUTE,TECHNICAL_SPECIFICATIONS,ATC_CODE,_BRAND_CANDIDATE,_BRAND_CANDIDATE_N,_FDA_BRAND_N,_FDA_GENERIC_N,_GENERIC_FROM_BRAND,_GENERIC_BEST,_GENERIC_BASE,_ROUTE_N,_STRENGTHS,_FORMS,_SIG3,_ROUTE_FAMILY,_FORM_FIRST,_FORM_GROUP
Alendronate + Cholecalciferol/Vitamin D3,Oral:,70 mg (as Sodium) + 5600 IU Tablet ,M05BB03,,,,STREPTOKINASE,STREPTOKINASE,ALENDRONATE + CHOLECALCIFEROL/VITAMIN D3,ALENDRONATE + CHOLECALCIFEROL/VITAMIN D3,PO,"['70.0MG', '5600.0IU']",['TABLET'],"['70.0MG', '5600.0IU']|['TABLET']|PO",ENTERAL,TABLET,SOLID_ORAL
Alfuzosin,Oral:,10 mg (as Hydrochloride) Tablet ,G04CA01,,,,STREPTOKINASE,STREPTOKINASE,ALFUZOSIN,ALFUZOSIN,PO,['10.0MG'],['TABLET'],['10.0MG']|['TABLET']|PO,ENTERAL,TABLET,SOLID_ORAL
All-in-one Admixtures,,"Solution in 400-2500 mL composed of:
Concentration = variable
Protein = 3-6 g/100 mL
Carbohydrates = 6-15 g/100 mL
Lipid = 2-5 g/100 mL
Calories = variable
Electrolytes = variable ",B05BA10,,,,STREPTOKINASE,STREPTOKINASE,ALL-IN-ONE ADMIXTURES,ALL-IN-ONE ADMIXTURES,,"['6.0G/100ML', '15.0G/100ML', '5.0G/100ML', '6.0G', '15.0G', '5.0G']",['SOLUTION'],"['6.0G/100ML', '15.0G/100ML', '5.0G/100ML', '6.0G', '15.0G', '5.0G']|['SOLUTION']|UNSPECIFIED",,SOLUTION,LIQUID_ORAL
Allopurinol,Oral:,100 mg Tablet ,M04AA01,,,,STREPTOKINASE,STREPTOKINASE,ALLOPURINOL,ALLOPURINOL,PO,['100.0MG'],['TABLET'],['100.0MG']|['TABLET']|PO,ENTERAL,TABLET,SOLID_ORAL
Allopurinol,Oral:,300 mg Tablet ,M04AA01,,,,STREPTOKINASE,STREPTOKINASE,ALLOPURINOL,ALLOPURINOL,PO,['300.0MG'],['TABLET'],['300.0MG']|['TABLET']|PO,ENTERAL,TABLET,SOLID_ORAL
Alprazolam,Oral:,250 mcg Tablet ,N05BA12,,,,STREPTOKINASE,STREPTOKINASE,ALPRAZOLAM,ALPRAZOLAM,PO,['250.0MCG'],['TABLET'],['250.0MCG']|['TABLET']|PO,ENTERAL,TABLET,SOLID_ORAL
Alprazolam,Oral:,500 mcg Tablet ,N05BA12,,,,STREPTOKINASE,STREPTOKINASE,ALPRAZOLAM,ALPRAZOLAM,PO,['500.0MCG'],['TABLET'],['500.0MCG']|['TABLET']|PO,ENTERAL,TABLET,SOLID_ORAL
Alprazolam,Oral:,1 mg Tablet ,N05BA12,,,,STREPTOKINASE,STREPTOKINASE,ALPRAZOLAM,ALPRAZOLAM,PO,['1.0MG'],['TABLET'],['1.0MG']|['TABLET']|PO,ENTERAL,TABLET,SOLID_ORAL
Alteplase (Human Recombinant Tissue Type Plasminogen Activator),Inj.:,50 mg Powder (IV infusion) ,B01AD02,,,,STREPTOKINASE,STREPTOKINASE,ALTEPLASE (HUMAN RECOMBINANT TISSUE TYPE PLASMINOGEN ACTIVATOR),ALTEPLASE (HUMAN RECOMBINANT TISSUE TYPE PLASMINOGEN ACTIVATOR),INJ.,['50.0MG'],['UNSPECIFIED'],['50.0MG']|['UNSPECIFIED']|INJ.,INJ.,UNSPECIFIED,UNSPECIFIED
Aluminum + Magnesium,Oral:,"225 mg (as Hydroxide) + 200 mg (as Hydroxide) per 5 mL, Suspension in 60 mL ",A02AB10,,,,STREPTOKINASE,STREPTOKINASE,ALUMINUM + MAGNESIUM,ALUMINUM + MAGNESIUM,PO,"['225.0MG', '200.0MG']",['SUSPENSION'],"['225.0MG', '200.0MG']|['SUSPENSION']|PO",ENTERAL,SUSPENSION,LIQUID_ORAL
Aluminum + Magnesium,Oral:,"225 mg (as Hydroxide) + 200 mg (as Hydroxide) per 5 mL, Suspension in 120 mL *Primary Health Care",A02AB10,,,,STREPTOKINASE,STREPTOKINASE,ALUMINUM + MAGNESIUM,ALUMINUM + MAGNESIUM,PO,"['225.0MG', '200.0MG']",['SUSPENSION'],"['225.0MG', '200.0MG']|['SUSPENSION']|PO",ENTERAL,SUSPENSION,LIQUID_ORAL
Aluminum + Magnesium,Oral:,200 mg (as Hydroxide) + 100 mg (as Hydroxide) Tablet ,A02AB10,,,,STREPTOKINASE,STREPTOKINASE,ALUMINUM + MAGNESIUM,ALUMINUM + MAGNESIUM,PO,"['200.0MG', '100.0MG']",['TABLET'],"['200.0MG', '100.0MG']|['TABLET']|PO",ENTERAL,TABLET,SOLID_ORAL
Amikacin,Inj.:,"50 mg/mL (as Sulfate) in 2 mL Ampul/Vial (IM, IV) ",J01GB06,,,,STREPTOKINASE,STREPTOKINASE,AMIKACIN,AMIKACIN,INJ.,"['50.0MG/1ML', '50.0MG']","['AMPUL', 'VIAL']","['50.0MG/1ML', '50.0MG']|['AMPUL', 'VIAL']|INJ.",INJ.,AMPUL,AMPUL
Amikacin,Inj.:,"100 mg/mL (as Sulfate) in 2 mL Ampul/Vial (IM, IV) ",J01GB06,,,,STREPTOKINASE,STREPTOKINASE,AMIKACIN,AMIKACIN,INJ.,"['100.0MG/1ML', '100.0MG']","['AMPUL', 'VIAL']","['100.0MG/1ML', '100.0MG']|['AMPUL', 'VIAL']|INJ.",INJ.,AMPUL,AMPUL
Amikacin,Inj.:,"125 mg/mL (as Sulfate) in 2 mL Ampul/Vial (IM, IV) ",J01GB06,,,,STREPTOKINASE,STREPTOKINASE,AMIKACIN,AMIKACIN,INJ.,"['125.0MG/1ML', '125.0MG']","['AMPUL', 'VIAL']","['125.0MG/1ML', '125.0MG']|['AMPUL', 'VIAL']|INJ.",INJ.,AMPUL,AMPUL
Amikacin,Inj.:,"250 mg/mL (as Sulfate) in 2 mL Ampul/Vial (IM, IV) ",J01GB06,,,,STREPTOKINASE,STREPTOKINASE,AMIKACIN,AMIKACIN,INJ.,"['250.0MG/1ML', '250.0MG']","['AMPUL', 'VIAL']","['250.0MG/1ML', '250.0MG']|['AMPUL', 'VIAL']|INJ.",INJ.,AMPUL,AMPUL
Amikacin,Inj.:,"100 mg (as Sulfate) Vial (IM, IV) ",J01GB06,,,,STREPTOKINASE,STREPTOKINASE,AMIKACIN,AMIKACIN,INJ.,['100.0MG'],['VIAL'],['100.0MG']|['VIAL']|INJ.,INJ.,VIAL,VIAL
Amikacin,Inj.:,"250 mg (as Sulfate) Vial (IM, IV) ",J01GB06,,,,STREPTOKINASE,STREPTOKINASE,AMIKACIN,AMIKACIN,INJ.,['250.0MG'],['VIAL'],['250.0MG']|['VIAL']|INJ.,INJ.,VIAL,VIAL
Amikacin,Inj.:,"500 mg (as Sulfate) Vial (IM, IV) ",J01GB06,,,,STREPTOKINASE,STREPTOKINASE,AMIKACIN,AMIKACIN,INJ.,['500.0MG'],['VIAL'],['500.0MG']|['VIAL']|INJ.,INJ.,VIAL,VIAL
Amikacin,Inj.:,"1 g (as Sulfate) Vial (IM, IV) ",J01GB06,,,,STREPTOKINASE,STREPTOKINASE,AMIKACIN,AMIKACIN,INJ.,['1.0G'],['VIAL'],['1.0G']|['VIAL']|INJ.,INJ.,VIAL,VIAL
Amino acid + Carbohydrate + Multivitamins + Electrolytes,Inj.:,Solution for IV injection/infusion in 1000 mL Infusion Set ,B05BA,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACID + CARBOHYDRATE + MULTIVITAMINS + ELECTROLYTES,AMINO ACID + CARBOHYDRATE + MULTIVITAMINS + ELECTROLYTES,INJ.,[],['SOLUTION'],[]|['SOLUTION']|INJ.,INJ.,SOLUTION,LIQUID_ORAL
Amino acid + Glucose + Electrolytes + Vitamin B1,Inj.:,Solution for peripheral venous infusion in 500 mL ,B05BA01,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACID + GLUCOSE + ELECTROLYTES + VITAMIN B1,AMINO ACID + GLUCOSE + ELECTROLYTES + VITAMIN B1,INJ.,[],['SOLUTION'],[]|['SOLUTION']|INJ.,INJ.,SOLUTION,LIQUID_ORAL
Amino acid + Glucose + Electrolytes + Vitamin B1,Inj.:,Solution for peripheral venous infusion in 1000 mL ,B05BA01,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACID + GLUCOSE + ELECTROLYTES + VITAMIN B1,AMINO ACID + GLUCOSE + ELECTROLYTES + VITAMIN B1,INJ.,[],['SOLUTION'],[]|['SOLUTION']|INJ.,INJ.,SOLUTION,LIQUID_ORAL
Amino acid solutions for Hepatic Failure,Inj.:,"Solution in 500 mL composed of:
Concentration = 5-10%
Protein = 35-50 g rich in branched-chain amino acids
Calories = 50-200
Electrolytes = variable ",V06DE,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACID SOLUTIONS FOR HEPATIC FAILURE,AMINO ACID SOLUTIONS FOR HEPATIC FAILURE,INJ.,['50.0G'],['SOLUTION'],['50.0G']|['SOLUTION']|INJ.,INJ.,SOLUTION,LIQUID_ORAL
Amino acid solutions for Immunonutrition/Immunoenhancement,Inj.:,"Solution in 50 mL composed of:
Protein = 20g; L-alanyl-L-glutamine
Calories = 70-90
Electrolytes = none ",V06DE,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACID SOLUTIONS FOR IMMUNONUTRITION/IMMUNOENHANCEMENT,AMINO ACID SOLUTIONS FOR IMMUNONUTRITION/IMMUNOENHANCEMENT,INJ.,['20.0G'],['SOLUTION'],['20.0G']|['SOLUTION']|INJ.,INJ.,SOLUTION,LIQUID_ORAL
Amino acid solutions for Immunonutrition/Immunoenhancement,Inj.:,"Solution in 100 mL composed of:
Protein = 20g; L-alanyl-L-glutamine
Calories = 70-90
Electrolytes = none ",V06DE,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACID SOLUTIONS FOR IMMUNONUTRITION/IMMUNOENHANCEMENT,AMINO ACID SOLUTIONS FOR IMMUNONUTRITION/IMMUNOENHANCEMENT,INJ.,['20.0G'],['SOLUTION'],['20.0G']|['SOLUTION']|INJ.,INJ.,SOLUTION,LIQUID_ORAL
Amino acid solutions for Infants,Inj.:,"Solution in 100 mL composed of:
Concentration = 5-10%
Protein = 5-10g including taurine
Calories = 20-40 kcal
Electrolytes = none ",V06DE,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACID SOLUTIONS FOR INFANTS,AMINO ACID SOLUTIONS FOR INFANTS,INJ.,['10.0G'],['SOLUTION'],['10.0G']|['SOLUTION']|INJ.,INJ.,SOLUTION,LIQUID_ORAL
Amino acid solutions for Renal Condition,Inj.:,"Solution 250-500 mL composed of:
Concentration = 3.5-7%
Protein = 17.5-35 g rich in essential amino acid
Calories = 50-200 kcal ",V06DE,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACID SOLUTIONS FOR RENAL CONDITION,AMINO ACID SOLUTIONS FOR RENAL CONDITION,INJ.,['35.0G'],['SOLUTION'],['35.0G']|['SOLUTION']|INJ.,INJ.,SOLUTION,LIQUID_ORAL
"Amino acids, crystalline standard",Inj.:,3.5% in 500 mL Bottle (IV infusion) ,B05BA01,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACIDS CRYSTALLINE STANDARD,AMINO ACIDS CRYSTALLINE STANDARD,INJ.,[],['UNSPECIFIED'],[]|['UNSPECIFIED']|INJ.,INJ.,UNSPECIFIED,UNSPECIFIED
"Amino acids, crystalline standard",Inj.:,5% in 100 mL Bottle (IV Infusion) ,B05BA01,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACIDS CRYSTALLINE STANDARD,AMINO ACIDS CRYSTALLINE STANDARD,INJ.,[],['UNSPECIFIED'],[]|['UNSPECIFIED']|INJ.,INJ.,UNSPECIFIED,UNSPECIFIED
"Amino acids, crystalline standard",Inj.:,5% in 250 mL Bottle (IV Infusion) ,B05BA01,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACIDS CRYSTALLINE STANDARD,AMINO ACIDS CRYSTALLINE STANDARD,INJ.,[],['UNSPECIFIED'],[]|['UNSPECIFIED']|INJ.,INJ.,UNSPECIFIED,UNSPECIFIED
"Amino acids, crystalline standard",Inj.:,5% in 500 mL Bottle (IV Infusion) ,B05BA01,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACIDS CRYSTALLINE STANDARD,AMINO ACIDS CRYSTALLINE STANDARD,INJ.,[],['UNSPECIFIED'],[]|['UNSPECIFIED']|INJ.,INJ.,UNSPECIFIED,UNSPECIFIED
"Amino acids, crystalline standard",Inj.:,6% in 100 mL Bottle (IV Infusion) ,B05BA01,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACIDS CRYSTALLINE STANDARD,AMINO ACIDS CRYSTALLINE STANDARD,INJ.,[],['UNSPECIFIED'],[]|['UNSPECIFIED']|INJ.,INJ.,UNSPECIFIED,UNSPECIFIED
"Amino acids, crystalline standard",Inj.:,6% in 250 mL Bottle (IV Infusion) ,B05BA01,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACIDS CRYSTALLINE STANDARD,AMINO ACIDS CRYSTALLINE STANDARD,INJ.,[],['UNSPECIFIED'],[]|['UNSPECIFIED']|INJ.,INJ.,UNSPECIFIED,UNSPECIFIED
"Amino acids, crystalline standard",Inj.:,7% in 100 mL Bottle (IV Infusion) ,B05BA01,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACIDS CRYSTALLINE STANDARD,AMINO ACIDS CRYSTALLINE STANDARD,INJ.,[],['UNSPECIFIED'],[]|['UNSPECIFIED']|INJ.,INJ.,UNSPECIFIED,UNSPECIFIED
"Amino acids, crystalline standard",Inj.:,7% in 500 mL Bottle (IV Infusion) ,B05BA01,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACIDS CRYSTALLINE STANDARD,AMINO ACIDS CRYSTALLINE STANDARD,INJ.,[],['UNSPECIFIED'],[]|['UNSPECIFIED']|INJ.,INJ.,UNSPECIFIED,UNSPECIFIED
"Amino acids, crystalline standard",Inj.:,7% in 1 L Bottle (IV Infusion) ,B05BA01,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACIDS CRYSTALLINE STANDARD,AMINO ACIDS CRYSTALLINE STANDARD,INJ.,[],['UNSPECIFIED'],[]|['UNSPECIFIED']|INJ.,INJ.,UNSPECIFIED,UNSPECIFIED
"Amino acids, crystalline standard",Inj.:,8.5% in 100 mL Bottle (IV Infusion) ,B05BA01,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACIDS CRYSTALLINE STANDARD,AMINO ACIDS CRYSTALLINE STANDARD,INJ.,[],['UNSPECIFIED'],[]|['UNSPECIFIED']|INJ.,INJ.,UNSPECIFIED,UNSPECIFIED
"Amino acids, crystalline standard",Inj.:,8.5% in 500 mL Bottle (IV Infusion) ,B05BA01,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACIDS CRYSTALLINE STANDARD,AMINO ACIDS CRYSTALLINE STANDARD,INJ.,[],['UNSPECIFIED'],[]|['UNSPECIFIED']|INJ.,INJ.,UNSPECIFIED,UNSPECIFIED
"Amino acids, crystalline standard",Inj.:,8.5% in 1 L Bottle (IV Infusion) ,B05BA01,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACIDS CRYSTALLINE STANDARD,AMINO ACIDS CRYSTALLINE STANDARD,INJ.,[],['UNSPECIFIED'],[]|['UNSPECIFIED']|INJ.,INJ.,UNSPECIFIED,UNSPECIFIED
"Amino acids, crystalline standard",Inj.:,10% in 100 mL Bottle (IV Infusion) ,B05BA01,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACIDS CRYSTALLINE STANDARD,AMINO ACIDS CRYSTALLINE STANDARD,INJ.,[],['UNSPECIFIED'],[]|['UNSPECIFIED']|INJ.,INJ.,UNSPECIFIED,UNSPECIFIED
"Amino acids, crystalline standard",Inj.:,10% in 500 mL Bottle (IV Infusion) ,B05BA01,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACIDS CRYSTALLINE STANDARD,AMINO ACIDS CRYSTALLINE STANDARD,INJ.,[],['UNSPECIFIED'],[]|['UNSPECIFIED']|INJ.,INJ.,UNSPECIFIED,UNSPECIFIED
