MOLECULE,ROUTE,TECHNICAL_SPECIFICATIONS,ATC_CODE,_BRAND_CANDIDATE,_BRAND_CANDIDATE_N,_FDA_BRAND_N,_FDA_GENERIC_N,_GENERIC_FROM_BRAND,_GENERIC_BEST,_GENERIC_BASE,_ROUTE_N,_STRENGTHS,_FORMS,_SIG3
Acetylcysteine,Inj.:,200 mg/mL in 25 mL Bottle (IV Infusion) ,R05CB01,,,,STREPTOKINASE,STREPTOKINASE,ACETYLCYSTEINE,ACETYLCYSTEINE,INJ.,"['200MG', '25ML']",['UNSPECIFIED'],"200MG,25ML|UNSPECIFIED|INJ."
Acetylcysteine,Inhalation:,100 mg/mL Solution for inhalation in 3 mL Ampule ,R05CB01,,,,STREPTOKINASE,STREPTOKINASE,ACETYLCYSTEINE,ACETYLCYSTEINE,INH,"['100MG', '3ML']","['SOLUTION', 'AMPUL']","100MG,3ML|AMPUL,SOLUTION|INH"
Aciclovir,Oral:,200 mg Tablet *Primary Health Care,J05AB01,,,,STREPTOKINASE,STREPTOKINASE,ACICLOVIR,ACICLOVIR,PO,['200MG'],['TABLET'],200MG|TABLET|PO
Aciclovir,Oral:,400 mg Tablet *Primary Health Care,J05AB01,,,,STREPTOKINASE,STREPTOKINASE,ACICLOVIR,ACICLOVIR,PO,['400MG'],['TABLET'],400MG|TABLET|PO
Aciclovir,Oral:,800 mg Tablet *Primary Health Care,J05AB01,,,,STREPTOKINASE,STREPTOKINASE,ACICLOVIR,ACICLOVIR,PO,['800MG'],['TABLET'],800MG|TABLET|PO
Aciclovir,Oral:,200 mg/5 mL Suspension in 60 mL *Primary Health Care,J05AB01,,,,STREPTOKINASE,STREPTOKINASE,ACICLOVIR,ACICLOVIR,PO,"['200MG/5ML', '60ML']",['SUSPENSION'],"200MG/5ML,60ML|SUSPENSION|PO"
Aciclovir,Oral:,200 mg/5 mL Suspension in 120 mL *Primary Health Care,J05AB01,,,,STREPTOKINASE,STREPTOKINASE,ACICLOVIR,ACICLOVIR,PO,"['120ML', '200MG/5ML']",['SUSPENSION'],"120ML,200MG/5ML|SUSPENSION|PO"
Aciclovir,Inj.:,25 mg/mL in 10 mL Vial (IV infusion) ,J05AB01,,,,STREPTOKINASE,STREPTOKINASE,ACICLOVIR,ACICLOVIR,INJ.,"['10ML', '25MG']",['VIAL'],"10ML,25MG|VIAL|INJ."
Activated Charcoal,Oral:,"Powder USP Grade, given as slurry *Primary Health Care",A07BA01,,,,STREPTOKINASE,STREPTOKINASE,ACTIVATED CHARCOAL,ACTIVATED CHARCOAL,PO,['UNSPECIFIED'],['UNSPECIFIED'],UNSPECIFIED|UNSPECIFIED|PO
Adenosine,Inj.:,3 mg/mL in 2 mL Vial (IV) ,C01EB10,,,,STREPTOKINASE,STREPTOKINASE,ADENOSINE,ADENOSINE,INJ.,"['2ML', '3MG']",['VIAL'],"2ML,3MG|VIAL|INJ."
Albendazole,Oral:,400 mg Chewable tablet *Primary Health Care,P02CA03,,,,STREPTOKINASE,STREPTOKINASE,ALBENDAZOLE,ALBENDAZOLE,PO,['400MG'],['TABLET'],400MG|TABLET|PO
Albendazole,Oral:,200 mg/5 mL Suspension in 10 mL *Primary Health Care,P02CA03,,,,STREPTOKINASE,STREPTOKINASE,ALBENDAZOLE,ALBENDAZOLE,PO,"['10ML', '200MG/5ML']",['SUSPENSION'],"10ML,200MG/5ML|SUSPENSION|PO"
Albendazole,Oral:,200 mg/5 mL Suspension in 60 mL *Primary Health Care,P02CA03,,,,STREPTOKINASE,STREPTOKINASE,ALBENDAZOLE,ALBENDAZOLE,PO,"['200MG/5ML', '60ML']",['SUSPENSION'],"200MG/5ML,60ML|SUSPENSION|PO"
"Albumin, Human",Inj.:,"20% in 50 mL Bottle (IV, IV infusion) ",B05AA01,,,,STREPTOKINASE,STREPTOKINASE,ALBUMIN HUMAN,ALBUMIN HUMAN,INJ.,"['20%', '50ML']",['UNSPECIFIED'],"20%,50ML|UNSPECIFIED|INJ."
"Albumin, Human",Inj.:,"20% in 100 mL Bottle (IV, IV infusion) ",B05AA01,,,,STREPTOKINASE,STREPTOKINASE,ALBUMIN HUMAN,ALBUMIN HUMAN,INJ.,"['100ML', '20%']",['UNSPECIFIED'],"100ML,20%|UNSPECIFIED|INJ."
"Albumin, Human",Inj.:,"25% in 50 mL Bottle (IV, IV infusion) ",B05AA01,,,,STREPTOKINASE,STREPTOKINASE,ALBUMIN HUMAN,ALBUMIN HUMAN,INJ.,"['25%', '50ML']",['UNSPECIFIED'],"25%,50ML|UNSPECIFIED|INJ."
"Albumin, Human",Inj.:,"25% in 100 mL Bottle (IV, IV infusion) ",B05AA01,,,,STREPTOKINASE,STREPTOKINASE,ALBUMIN HUMAN,ALBUMIN HUMAN,INJ.,"['100ML', '25%']",['UNSPECIFIED'],"100ML,25%|UNSPECIFIED|INJ."
"Albumin, Human",Inj.:,"25% in 50 mL Plastic bag (IV, IV infusion) ",B05AA01,,,,STREPTOKINASE,STREPTOKINASE,ALBUMIN HUMAN,ALBUMIN HUMAN,INJ.,"['25%', '50ML']",['UNSPECIFIED'],"25%,50ML|UNSPECIFIED|INJ."
"Alcohol, Ethyl",Oral:,95% USP grade ,V03AZ01,,,,STREPTOKINASE,STREPTOKINASE,ALCOHOL ETHYL,ALCOHOL ETHYL,PO,['95%'],['UNSPECIFIED'],95%|UNSPECIFIED|PO
"Alcohol, Ethyl",Inj.:,Absolute in 1 mL Ampul (IV) ,V03AZ01,,,,STREPTOKINASE,STREPTOKINASE,ALCOHOL ETHYL,ALCOHOL ETHYL,INJ.,['1ML'],['AMPUL'],1ML|AMPUL|INJ.
"Alcohol, Ethyl",Topical:,70% Solution *Primary Health Care,V03AZ01,,,,STREPTOKINASE,STREPTOKINASE,ALCOHOL ETHYL,ALCOHOL ETHYL,TOP,['70%'],['SOLUTION'],70%|SOLUTION|TOP
Alendronate,Oral:,10 mg (as Sodium) Tablet ,M05BB03,,,,STREPTOKINASE,STREPTOKINASE,ALENDRONATE,ALENDRONATE,PO,['10MG'],['TABLET'],10MG|TABLET|PO
Alendronate,Oral:,70 mg (as Sodium) Tablet ,M05BB03,,,,STREPTOKINASE,STREPTOKINASE,ALENDRONATE,ALENDRONATE,PO,['70MG'],['TABLET'],70MG|TABLET|PO
Alendronate + Cholecalciferol/Vitamin D3,Oral:,70 mg (as Sodium) + 5600 IU Tablet ,M05BB03,,,,STREPTOKINASE,STREPTOKINASE,ALENDRONATE + CHOLECALCIFEROL/VITAMIN D3,ALENDRONATE + CHOLECALCIFEROL/VITAMIN D3,PO,"['5600IU', '70MG']",['TABLET'],"5600IU,70MG|TABLET|PO"
Alfuzosin,Oral:,10 mg (as Hydrochloride) Tablet ,G04CA01,,,,STREPTOKINASE,STREPTOKINASE,ALFUZOSIN,ALFUZOSIN,PO,['10MG'],['TABLET'],10MG|TABLET|PO
All-in-one Admixtures,,"Solution in 400-2500 mL composed of:
Concentration = variable
Protein = 3-6 g/100 mL
Carbohydrates = 6-15 g/100 mL
Lipid = 2-5 g/100 mL
Calories = variable
Electrolytes = variable ",B05BA10,,,,STREPTOKINASE,STREPTOKINASE,ALL-IN-ONE ADMIXTURES,ALL-IN-ONE ADMIXTURES,,"['15G/100ML', '2500ML', '5G/100ML', '6G/100ML']",['SOLUTION'],"15G/100ML,2500ML,5G/100ML,6G/100ML|SOLUTION"
Allopurinol,Oral:,100 mg Tablet ,M04AA01,,,,STREPTOKINASE,STREPTOKINASE,ALLOPURINOL,ALLOPURINOL,PO,['100MG'],['TABLET'],100MG|TABLET|PO
Allopurinol,Oral:,300 mg Tablet ,M04AA01,,,,STREPTOKINASE,STREPTOKINASE,ALLOPURINOL,ALLOPURINOL,PO,['300MG'],['TABLET'],300MG|TABLET|PO
Alprazolam,Oral:,250 mcg Tablet ,N05BA12,,,,STREPTOKINASE,STREPTOKINASE,ALPRAZOLAM,ALPRAZOLAM,PO,['250MCG'],['TABLET'],250MCG|TABLET|PO
Alprazolam,Oral:,500 mcg Tablet ,N05BA12,,,,STREPTOKINASE,STREPTOKINASE,ALPRAZOLAM,ALPRAZOLAM,PO,['500MCG'],['TABLET'],500MCG|TABLET|PO
Alprazolam,Oral:,1 mg Tablet ,N05BA12,,,,STREPTOKINASE,STREPTOKINASE,ALPRAZOLAM,ALPRAZOLAM,PO,['1MG'],['TABLET'],1MG|TABLET|PO
Alteplase (Human Recombinant Tissue Type Plasminogen Activator),Inj.:,50 mg Powder (IV infusion) ,B01AD02,,,,STREPTOKINASE,STREPTOKINASE,ALTEPLASE (HUMAN RECOMBINANT TISSUE TYPE PLASMINOGEN ACTIVATOR),ALTEPLASE (HUMAN RECOMBINANT TISSUE TYPE PLASMINOGEN ACTIVATOR),INJ.,['50MG'],['UNSPECIFIED'],50MG|UNSPECIFIED|INJ.
Aluminum + Magnesium,Oral:,"225 mg (as Hydroxide) + 200 mg (as Hydroxide) per 5 mL, Suspension in 60 mL ",A02AB10,,,,STREPTOKINASE,STREPTOKINASE,ALUMINUM + MAGNESIUM,ALUMINUM + MAGNESIUM,PO,"['200MG', '225MG', '5ML', '60ML']",['SUSPENSION'],"200MG,225MG,5ML,60ML|SUSPENSION|PO"
Aluminum + Magnesium,Oral:,"225 mg (as Hydroxide) + 200 mg (as Hydroxide) per 5 mL, Suspension in 120 mL *Primary Health Care",A02AB10,,,,STREPTOKINASE,STREPTOKINASE,ALUMINUM + MAGNESIUM,ALUMINUM + MAGNESIUM,PO,"['120ML', '200MG', '225MG', '5ML']",['SUSPENSION'],"120ML,200MG,225MG,5ML|SUSPENSION|PO"
Aluminum + Magnesium,Oral:,200 mg (as Hydroxide) + 100 mg (as Hydroxide) Tablet ,A02AB10,,,,STREPTOKINASE,STREPTOKINASE,ALUMINUM + MAGNESIUM,ALUMINUM + MAGNESIUM,PO,"['100MG', '200MG']",['TABLET'],"100MG,200MG|TABLET|PO"
Amikacin,Inj.:,"50 mg/mL (as Sulfate) in 2 mL Ampul/Vial (IM, IV) ",J01GB06,,,,STREPTOKINASE,STREPTOKINASE,AMIKACIN,AMIKACIN,INJ.,"['2ML', '50MG']","['AMPUL', 'VIAL']","2ML,50MG|AMPUL,VIAL|INJ."
Amikacin,Inj.:,"100 mg/mL (as Sulfate) in 2 mL Ampul/Vial (IM, IV) ",J01GB06,,,,STREPTOKINASE,STREPTOKINASE,AMIKACIN,AMIKACIN,INJ.,"['100MG', '2ML']","['AMPUL', 'VIAL']","100MG,2ML|AMPUL,VIAL|INJ."
Amikacin,Inj.:,"125 mg/mL (as Sulfate) in 2 mL Ampul/Vial (IM, IV) ",J01GB06,,,,STREPTOKINASE,STREPTOKINASE,AMIKACIN,AMIKACIN,INJ.,"['125MG', '2ML']","['AMPUL', 'VIAL']","125MG,2ML|AMPUL,VIAL|INJ."
Amikacin,Inj.:,"250 mg/mL (as Sulfate) in 2 mL Ampul/Vial (IM, IV) ",J01GB06,,,,STREPTOKINASE,STREPTOKINASE,AMIKACIN,AMIKACIN,INJ.,"['250MG', '2ML']","['AMPUL', 'VIAL']","250MG,2ML|AMPUL,VIAL|INJ."
Amikacin,Inj.:,"100 mg (as Sulfate) Vial (IM, IV) ",J01GB06,,,,STREPTOKINASE,STREPTOKINASE,AMIKACIN,AMIKACIN,INJ.,['100MG'],['VIAL'],100MG|VIAL|INJ.
Amikacin,Inj.:,"250 mg (as Sulfate) Vial (IM, IV) ",J01GB06,,,,STREPTOKINASE,STREPTOKINASE,AMIKACIN,AMIKACIN,INJ.,['250MG'],['VIAL'],250MG|VIAL|INJ.
Amikacin,Inj.:,"500 mg (as Sulfate) Vial (IM, IV) ",J01GB06,,,,STREPTOKINASE,STREPTOKINASE,AMIKACIN,AMIKACIN,INJ.,['500MG'],['VIAL'],500MG|VIAL|INJ.
Amikacin,Inj.:,"1 g (as Sulfate) Vial (IM, IV) ",J01GB06,,,,STREPTOKINASE,STREPTOKINASE,AMIKACIN,AMIKACIN,INJ.,['1G'],['VIAL'],1G|VIAL|INJ.
Amino acid + Carbohydrate + Multivitamins + Electrolytes,Inj.:,Solution for IV injection/infusion in 1000 mL Infusion Set ,B05BA,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACID + CARBOHYDRATE + MULTIVITAMINS + ELECTROLYTES,AMINO ACID + CARBOHYDRATE + MULTIVITAMINS + ELECTROLYTES,INJ.,['1000ML'],['SOLUTION'],1000ML|SOLUTION|INJ.
Amino acid + Glucose + Electrolytes + Vitamin B1,Inj.:,Solution for peripheral venous infusion in 500 mL ,B05BA01,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACID + GLUCOSE + ELECTROLYTES + VITAMIN B1,AMINO ACID + GLUCOSE + ELECTROLYTES + VITAMIN B1,INJ.,['500ML'],['SOLUTION'],500ML|SOLUTION|INJ.
Amino acid + Glucose + Electrolytes + Vitamin B1,Inj.:,Solution for peripheral venous infusion in 1000 mL ,B05BA01,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACID + GLUCOSE + ELECTROLYTES + VITAMIN B1,AMINO ACID + GLUCOSE + ELECTROLYTES + VITAMIN B1,INJ.,['1000ML'],['SOLUTION'],1000ML|SOLUTION|INJ.
Amino acid solutions for Hepatic Failure,Inj.:,"Solution in 500 mL composed of:
Concentration = 5-10%
Protein = 35-50 g rich in branched-chain amino acids
Calories = 50-200
Electrolytes = variable ",V06DE,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACID SOLUTIONS FOR HEPATIC FAILURE,AMINO ACID SOLUTIONS FOR HEPATIC FAILURE,INJ.,"['10%', '500ML', '50G']",['SOLUTION'],"10%,500ML,50G|SOLUTION|INJ."
Amino acid solutions for Immunonutrition/Immunoenhancement,Inj.:,"Solution in 50 mL composed of:
Protein = 20g; L-alanyl-L-glutamine
Calories = 70-90
Electrolytes = none ",V06DE,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACID SOLUTIONS FOR IMMUNONUTRITION/IMMUNOENHANCEMENT,AMINO ACID SOLUTIONS FOR IMMUNONUTRITION/IMMUNOENHANCEMENT,INJ.,"['20G', '50ML']",['SOLUTION'],"20G,50ML|SOLUTION|INJ."
Amino acid solutions for Immunonutrition/Immunoenhancement,Inj.:,"Solution in 100 mL composed of:
Protein = 20g; L-alanyl-L-glutamine
Calories = 70-90
Electrolytes = none ",V06DE,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACID SOLUTIONS FOR IMMUNONUTRITION/IMMUNOENHANCEMENT,AMINO ACID SOLUTIONS FOR IMMUNONUTRITION/IMMUNOENHANCEMENT,INJ.,"['100ML', '20G']",['SOLUTION'],"100ML,20G|SOLUTION|INJ."
Amino acid solutions for Infants,Inj.:,"Solution in 100 mL composed of:
Concentration = 5-10%
Protein = 5-10g including taurine
Calories = 20-40 kcal
Electrolytes = none ",V06DE,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACID SOLUTIONS FOR INFANTS,AMINO ACID SOLUTIONS FOR INFANTS,INJ.,"['10%', '100ML', '10G']",['SOLUTION'],"10%,100ML,10G|SOLUTION|INJ."
Amino acid solutions for Renal Condition,Inj.:,"Solution 250-500 mL composed of:
Concentration = 3.5-7%
Protein = 17.5-35 g rich in essential amino acid
Calories = 50-200 kcal ",V06DE,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACID SOLUTIONS FOR RENAL CONDITION,AMINO ACID SOLUTIONS FOR RENAL CONDITION,INJ.,"['35G', '500ML', '7%']",['SOLUTION'],"35G,500ML,7%|SOLUTION|INJ."
"Amino acids, crystalline standard",Inj.:,3.5% in 500 mL Bottle (IV infusion) ,B05BA01,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACIDS CRYSTALLINE STANDARD,AMINO ACIDS CRYSTALLINE STANDARD,INJ.,"['3.5%', '500ML']",['UNSPECIFIED'],"3.5%,500ML|UNSPECIFIED|INJ."
"Amino acids, crystalline standard",Inj.:,5% in 100 mL Bottle (IV Infusion) ,B05BA01,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACIDS CRYSTALLINE STANDARD,AMINO ACIDS CRYSTALLINE STANDARD,INJ.,"['100ML', '5%']",['UNSPECIFIED'],"100ML,5%|UNSPECIFIED|INJ."
"Amino acids, crystalline standard",Inj.:,5% in 250 mL Bottle (IV Infusion) ,B05BA01,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACIDS CRYSTALLINE STANDARD,AMINO ACIDS CRYSTALLINE STANDARD,INJ.,"['250ML', '5%']",['UNSPECIFIED'],"250ML,5%|UNSPECIFIED|INJ."
"Amino acids, crystalline standard",Inj.:,5% in 500 mL Bottle (IV Infusion) ,B05BA01,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACIDS CRYSTALLINE STANDARD,AMINO ACIDS CRYSTALLINE STANDARD,INJ.,"['5%', '500ML']",['UNSPECIFIED'],"5%,500ML|UNSPECIFIED|INJ."
"Amino acids, crystalline standard",Inj.:,6% in 100 mL Bottle (IV Infusion) ,B05BA01,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACIDS CRYSTALLINE STANDARD,AMINO ACIDS CRYSTALLINE STANDARD,INJ.,"['100ML', '6%']",['UNSPECIFIED'],"100ML,6%|UNSPECIFIED|INJ."
"Amino acids, crystalline standard",Inj.:,6% in 250 mL Bottle (IV Infusion) ,B05BA01,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACIDS CRYSTALLINE STANDARD,AMINO ACIDS CRYSTALLINE STANDARD,INJ.,"['250ML', '6%']",['UNSPECIFIED'],"250ML,6%|UNSPECIFIED|INJ."
"Amino acids, crystalline standard",Inj.:,7% in 100 mL Bottle (IV Infusion) ,B05BA01,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACIDS CRYSTALLINE STANDARD,AMINO ACIDS CRYSTALLINE STANDARD,INJ.,"['100ML', '7%']",['UNSPECIFIED'],"100ML,7%|UNSPECIFIED|INJ."
"Amino acids, crystalline standard",Inj.:,7% in 500 mL Bottle (IV Infusion) ,B05BA01,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACIDS CRYSTALLINE STANDARD,AMINO ACIDS CRYSTALLINE STANDARD,INJ.,"['500ML', '7%']",['UNSPECIFIED'],"500ML,7%|UNSPECIFIED|INJ."
"Amino acids, crystalline standard",Inj.:,7% in 1 L Bottle (IV Infusion) ,B05BA01,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACIDS CRYSTALLINE STANDARD,AMINO ACIDS CRYSTALLINE STANDARD,INJ.,['7%'],['UNSPECIFIED'],7%|UNSPECIFIED|INJ.
"Amino acids, crystalline standard",Inj.:,8.5% in 100 mL Bottle (IV Infusion) ,B05BA01,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACIDS CRYSTALLINE STANDARD,AMINO ACIDS CRYSTALLINE STANDARD,INJ.,"['100ML', '8.5%']",['UNSPECIFIED'],"100ML,8.5%|UNSPECIFIED|INJ."
"Amino acids, crystalline standard",Inj.:,8.5% in 500 mL Bottle (IV Infusion) ,B05BA01,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACIDS CRYSTALLINE STANDARD,AMINO ACIDS CRYSTALLINE STANDARD,INJ.,"['500ML', '8.5%']",['UNSPECIFIED'],"500ML,8.5%|UNSPECIFIED|INJ."
"Amino acids, crystalline standard",Inj.:,8.5% in 1 L Bottle (IV Infusion) ,B05BA01,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACIDS CRYSTALLINE STANDARD,AMINO ACIDS CRYSTALLINE STANDARD,INJ.,['8.5%'],['UNSPECIFIED'],8.5%|UNSPECIFIED|INJ.
"Amino acids, crystalline standard",Inj.:,10% in 100 mL Bottle (IV Infusion) ,B05BA01,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACIDS CRYSTALLINE STANDARD,AMINO ACIDS CRYSTALLINE STANDARD,INJ.,"['10%', '100ML']",['UNSPECIFIED'],"10%,100ML|UNSPECIFIED|INJ."
"Amino acids, crystalline standard",Inj.:,10% in 500 mL Bottle (IV Infusion) ,B05BA01,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACIDS CRYSTALLINE STANDARD,AMINO ACIDS CRYSTALLINE STANDARD,INJ.,"['10%', '500ML']",['UNSPECIFIED'],"10%,500ML|UNSPECIFIED|INJ."
"Amino acids, crystalline standard",Inj.:,10% in 1 L Bottle (IV Infusion) ,B05BA01,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACIDS CRYSTALLINE STANDARD,AMINO ACIDS CRYSTALLINE STANDARD,INJ.,['10%'],['UNSPECIFIED'],10%|UNSPECIFIED|INJ.
"Amino acids, crystalline standard",Inj.:,11.4% in 100 mL Bottle (IV Infusion) ,B05BA01,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACIDS CRYSTALLINE STANDARD,AMINO ACIDS CRYSTALLINE STANDARD,INJ.,"['100ML', '11.4%']",['UNSPECIFIED'],"100ML,11.4%|UNSPECIFIED|INJ."
"Amino acids, crystalline standard",Inj.:,11.4% in 500 mL Bottle (IV Infusion) ,B05BA01,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACIDS CRYSTALLINE STANDARD,AMINO ACIDS CRYSTALLINE STANDARD,INJ.,"['11.4%', '500ML']",['UNSPECIFIED'],"11.4%,500ML|UNSPECIFIED|INJ."
"Amino acids, crystalline standard",Inj.:,11.4% in 1 L Bottle (IV Infusion) ,B05BA01,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACIDS CRYSTALLINE STANDARD,AMINO ACIDS CRYSTALLINE STANDARD,INJ.,['11.4%'],['UNSPECIFIED'],11.4%|UNSPECIFIED|INJ.
"Amino acids, crystalline standard",Inj.:,8% (as Branched chain) in 500 mL Bottle (IV Infusion) ,B05BA01,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACIDS CRYSTALLINE STANDARD,AMINO ACIDS CRYSTALLINE STANDARD,INJ.,"['500ML', '8%']",['UNSPECIFIED'],"500ML,8%|UNSPECIFIED|INJ."
"Amino acids, crystalline standard",Inj.:,9.12% in 20 mL Ampul (IV Infusion) ,B05BA01,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACIDS CRYSTALLINE STANDARD,AMINO ACIDS CRYSTALLINE STANDARD,INJ.,"['20ML', '9.12%']",['AMPUL'],"20ML,9.12%|AMPUL|INJ."
"Amino acids, crystalline standard",Inj.:,9.12% in 200 mL Bottle (IV Infusion) ,B05BA01,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACIDS CRYSTALLINE STANDARD,AMINO ACIDS CRYSTALLINE STANDARD,INJ.,"['200ML', '9.12%']",['UNSPECIFIED'],"200ML,9.12%|UNSPECIFIED|INJ."
Aminophylline/Theophylline ethylenediamine,Inj.:,25 mg/mL in 10 mL Ampul (IV) ,R03DA05,,,,STREPTOKINASE,STREPTOKINASE,AMINOPHYLLINE/THEOPHYLLINE ETHYLENEDIAMINE,AMINOPHYLLINE/THEOPHYLLINE ETHYLENEDIAMINE,INJ.,"['10ML', '25MG']",['AMPUL'],"10ML,25MG|AMPUL|INJ."
Amiodarone,Oral:,200 mg (as Hydrochloride) Tablet ,C01BD01,,,,STREPTOKINASE,STREPTOKINASE,AMIODARONE,AMIODARONE,PO,['200MG'],['TABLET'],200MG|TABLET|PO
Amiodarone,Inj.:,50 mg/mL (as Hydrochloride) in 3 mL Ampul (IV) ,C01BD01,,,,STREPTOKINASE,STREPTOKINASE,AMIODARONE,AMIODARONE,INJ.,"['3ML', '50MG']",['AMPUL'],"3ML,50MG|AMPUL|INJ."
Amlodipine,Oral:,5 mg (as Besilate/Camsylate) Tablet *Primary Health Care,C08CA01,,,,STREPTOKINASE,STREPTOKINASE,AMLODIPINE,AMLODIPINE,PO,['5MG'],['TABLET'],5MG|TABLET|PO
Amlodipine,Oral:,10 mg (as Besilate/Camsylate) Tablet *Primary Health Care,C08CA01,,,,STREPTOKINASE,STREPTOKINASE,AMLODIPINE,AMLODIPINE,PO,['10MG'],['TABLET'],10MG|TABLET|PO
Amoxicillin,Oral:,250 mg (as Trihydrate) Capsule *Primary Health Care,J01CA04,,,,STREPTOKINASE,STREPTOKINASE,AMOXICILLIN,AMOXICILLIN,PO,['250MG'],['CAPSULE'],250MG|CAPSULE|PO
Amoxicillin,Oral:,500 mg (as Trihydrate) Capsule *Primary Health Care,J01CA04,,,,STREPTOKINASE,STREPTOKINASE,AMOXICILLIN,AMOXICILLIN,PO,['500MG'],['CAPSULE'],500MG|CAPSULE|PO
