MOLECULE,ROUTE,TECHNICAL_SPECIFICATIONS,ATC_CODE,_BRAND_CANDIDATE,_BRAND_CANDIDATE_N,_FDA_BRAND_N,_FDA_GENERIC_N,_GENERIC_FROM_BRAND,_GENERIC_BEST,_GENERIC_BASE,_ROUTE_N
Alendronate,Oral:,70 mg (as Sodium) Tablet ,M05BB03,,,,STREPTOKINASE,STREPTOKINASE,ALENDRONATE,ALENDRONATE,PO
Alendronate + Cholecalciferol/Vitamin D3,Oral:,70 mg (as Sodium) + 5600 IU Tablet ,M05BB03,,,,STREPTOKINASE,STREPTOKINASE,ALENDRONATE + CHOLECALCIFEROL/VITAMIN D3,ALENDRONATE + CHOLECALCIFEROL/VITAMIN D3,PO
Alfuzosin,Oral:,10 mg (as Hydrochloride) Tablet ,G04CA01,,,,STREPTOKINASE,STREPTOKINASE,ALFUZOSIN,ALFUZOSIN,PO
All-in-one Admixtures,,"Solution in 400-2500 mL composed of:
Concentration = variable
Protein = 3-6 g/100 mL
Carbohydrates = 6-15 g/100 mL
Lipid = 2-5 g/100 mL
Calories = variable
Electrolytes = variable ",B05BA10,,,,STREPTOKINASE,STREPTOKINASE,ALL-IN-ONE ADMIXTURES,ALL-IN-ONE ADMIXTURES,
Allopurinol,Oral:,100 mg Tablet ,M04AA01,,,,STREPTOKINASE,STREPTOKINASE,ALLOPURINOL,ALLOPURINOL,PO
Allopurinol,Oral:,300 mg Tablet ,M04AA01,,,,STREPTOKINASE,STREPTOKINASE,ALLOPURINOL,ALLOPURINOL,PO
Alprazolam,Oral:,250 mcg Tablet ,N05BA12,,,,STREPTOKINASE,STREPTOKINASE,ALPRAZOLAM,ALPRAZOLAM,PO
Alprazolam,Oral:,500 mcg Tablet ,N05BA12,,,,STREPTOKINASE,STREPTOKINASE,ALPRAZOLAM,ALPRAZOLAM,PO
Alprazolam,Oral:,1 mg Tablet ,N05BA12,,,,STREPTOKINASE,STREPTOKINASE,ALPRAZOLAM,ALPRAZOLAM,PO
Alteplase (Human Recombinant Tissue Type Plasminogen Activator),Inj.:,50 mg Powder (IV infusion) ,B01AD02,,,,STREPTOKINASE,STREPTOKINASE,ALTEPLASE (HUMAN RECOMBINANT TISSUE TYPE PLASMINOGEN ACTIVATOR),ALTEPLASE (HUMAN RECOMBINANT TISSUE TYPE PLASMINOGEN ACTIVATOR),INJ.
Aluminum + Magnesium,Oral:,"225 mg (as Hydroxide) + 200 mg (as Hydroxide) per 5 mL, Suspension in 60 mL ",A02AB10,,,,STREPTOKINASE,STREPTOKINASE,ALUMINUM + MAGNESIUM,ALUMINUM + MAGNESIUM,PO
Aluminum + Magnesium,Oral:,"225 mg (as Hydroxide) + 200 mg (as Hydroxide) per 5 mL, Suspension in 120 mL *Primary Health Care",A02AB10,,,,STREPTOKINASE,STREPTOKINASE,ALUMINUM + MAGNESIUM,ALUMINUM + MAGNESIUM,PO
Aluminum + Magnesium,Oral:,200 mg (as Hydroxide) + 100 mg (as Hydroxide) Tablet ,A02AB10,,,,STREPTOKINASE,STREPTOKINASE,ALUMINUM + MAGNESIUM,ALUMINUM + MAGNESIUM,PO
Amikacin,Inj.:,"50 mg/mL (as Sulfate) in 2 mL Ampul/Vial (IM, IV) ",J01GB06,,,,STREPTOKINASE,STREPTOKINASE,AMIKACIN,AMIKACIN,INJ.
Amikacin,Inj.:,"100 mg/mL (as Sulfate) in 2 mL Ampul/Vial (IM, IV) ",J01GB06,,,,STREPTOKINASE,STREPTOKINASE,AMIKACIN,AMIKACIN,INJ.
Amikacin,Inj.:,"125 mg/mL (as Sulfate) in 2 mL Ampul/Vial (IM, IV) ",J01GB06,,,,STREPTOKINASE,STREPTOKINASE,AMIKACIN,AMIKACIN,INJ.
Amikacin,Inj.:,"250 mg/mL (as Sulfate) in 2 mL Ampul/Vial (IM, IV) ",J01GB06,,,,STREPTOKINASE,STREPTOKINASE,AMIKACIN,AMIKACIN,INJ.
Amikacin,Inj.:,"100 mg (as Sulfate) Vial (IM, IV) ",J01GB06,,,,STREPTOKINASE,STREPTOKINASE,AMIKACIN,AMIKACIN,INJ.
Amikacin,Inj.:,"250 mg (as Sulfate) Vial (IM, IV) ",J01GB06,,,,STREPTOKINASE,STREPTOKINASE,AMIKACIN,AMIKACIN,INJ.
Amikacin,Inj.:,"500 mg (as Sulfate) Vial (IM, IV) ",J01GB06,,,,STREPTOKINASE,STREPTOKINASE,AMIKACIN,AMIKACIN,INJ.
Amikacin,Inj.:,"1 g (as Sulfate) Vial (IM, IV) ",J01GB06,,,,STREPTOKINASE,STREPTOKINASE,AMIKACIN,AMIKACIN,INJ.
Amino acid + Carbohydrate + Multivitamins + Electrolytes,Inj.:,Solution for IV injection/infusion in 1000 mL Infusion Set ,B05BA,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACID + CARBOHYDRATE + MULTIVITAMINS + ELECTROLYTES,AMINO ACID + CARBOHYDRATE + MULTIVITAMINS + ELECTROLYTES,INJ.
Amino acid + Glucose + Electrolytes + Vitamin B1,Inj.:,Solution for peripheral venous infusion in 500 mL ,B05BA01,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACID + GLUCOSE + ELECTROLYTES + VITAMIN B1,AMINO ACID + GLUCOSE + ELECTROLYTES + VITAMIN B1,INJ.
Amino acid + Glucose + Electrolytes + Vitamin B1,Inj.:,Solution for peripheral venous infusion in 1000 mL ,B05BA01,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACID + GLUCOSE + ELECTROLYTES + VITAMIN B1,AMINO ACID + GLUCOSE + ELECTROLYTES + VITAMIN B1,INJ.
Amino acid solutions for Hepatic Failure,Inj.:,"Solution in 500 mL composed of:
Concentration = 5-10%
Protein = 35-50 g rich in branched-chain amino acids
Calories = 50-200
Electrolytes = variable ",V06DE,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACID SOLUTIONS FOR HEPATIC FAILURE,AMINO ACID SOLUTIONS FOR HEPATIC FAILURE,INJ.
Amino acid solutions for Immunonutrition/Immunoenhancement,Inj.:,"Solution in 50 mL composed of:
Protein = 20g; L-alanyl-L-glutamine
Calories = 70-90
Electrolytes = none ",V06DE,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACID SOLUTIONS FOR IMMUNONUTRITION/IMMUNOENHANCEMENT,AMINO ACID SOLUTIONS FOR IMMUNONUTRITION/IMMUNOENHANCEMENT,INJ.
Amino acid solutions for Immunonutrition/Immunoenhancement,Inj.:,"Solution in 100 mL composed of:
Protein = 20g; L-alanyl-L-glutamine
Calories = 70-90
Electrolytes = none ",V06DE,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACID SOLUTIONS FOR IMMUNONUTRITION/IMMUNOENHANCEMENT,AMINO ACID SOLUTIONS FOR IMMUNONUTRITION/IMMUNOENHANCEMENT,INJ.
Amino acid solutions for Infants,Inj.:,"Solution in 100 mL composed of:
Concentration = 5-10%
Protein = 5-10g including taurine
Calories = 20-40 kcal
Electrolytes = none ",V06DE,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACID SOLUTIONS FOR INFANTS,AMINO ACID SOLUTIONS FOR INFANTS,INJ.
Amino acid solutions for Renal Condition,Inj.:,"Solution 250-500 mL composed of:
Concentration = 3.5-7%
Protein = 17.5-35 g rich in essential amino acid
Calories = 50-200 kcal ",V06DE,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACID SOLUTIONS FOR RENAL CONDITION,AMINO ACID SOLUTIONS FOR RENAL CONDITION,INJ.
"Amino acids, crystalline standard",Inj.:,3.5% in 500 mL Bottle (IV infusion) ,B05BA01,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACIDS CRYSTALLINE STANDARD,AMINO ACIDS CRYSTALLINE STANDARD,INJ.
"Amino acids, crystalline standard",Inj.:,5% in 100 mL Bottle (IV Infusion) ,B05BA01,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACIDS CRYSTALLINE STANDARD,AMINO ACIDS CRYSTALLINE STANDARD,INJ.
"Amino acids, crystalline standard",Inj.:,5% in 250 mL Bottle (IV Infusion) ,B05BA01,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACIDS CRYSTALLINE STANDARD,AMINO ACIDS CRYSTALLINE STANDARD,INJ.
"Amino acids, crystalline standard",Inj.:,5% in 500 mL Bottle (IV Infusion) ,B05BA01,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACIDS CRYSTALLINE STANDARD,AMINO ACIDS CRYSTALLINE STANDARD,INJ.
"Amino acids, crystalline standard",Inj.:,6% in 100 mL Bottle (IV Infusion) ,B05BA01,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACIDS CRYSTALLINE STANDARD,AMINO ACIDS CRYSTALLINE STANDARD,INJ.
"Amino acids, crystalline standard",Inj.:,6% in 250 mL Bottle (IV Infusion) ,B05BA01,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACIDS CRYSTALLINE STANDARD,AMINO ACIDS CRYSTALLINE STANDARD,INJ.
"Amino acids, crystalline standard",Inj.:,7% in 100 mL Bottle (IV Infusion) ,B05BA01,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACIDS CRYSTALLINE STANDARD,AMINO ACIDS CRYSTALLINE STANDARD,INJ.
"Amino acids, crystalline standard",Inj.:,7% in 500 mL Bottle (IV Infusion) ,B05BA01,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACIDS CRYSTALLINE STANDARD,AMINO ACIDS CRYSTALLINE STANDARD,INJ.
"Amino acids, crystalline standard",Inj.:,7% in 1 L Bottle (IV Infusion) ,B05BA01,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACIDS CRYSTALLINE STANDARD,AMINO ACIDS CRYSTALLINE STANDARD,INJ.
"Amino acids, crystalline standard",Inj.:,8.5% in 100 mL Bottle (IV Infusion) ,B05BA01,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACIDS CRYSTALLINE STANDARD,AMINO ACIDS CRYSTALLINE STANDARD,INJ.
"Amino acids, crystalline standard",Inj.:,8.5% in 500 mL Bottle (IV Infusion) ,B05BA01,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACIDS CRYSTALLINE STANDARD,AMINO ACIDS CRYSTALLINE STANDARD,INJ.
"Amino acids, crystalline standard",Inj.:,8.5% in 1 L Bottle (IV Infusion) ,B05BA01,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACIDS CRYSTALLINE STANDARD,AMINO ACIDS CRYSTALLINE STANDARD,INJ.
"Amino acids, crystalline standard",Inj.:,10% in 100 mL Bottle (IV Infusion) ,B05BA01,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACIDS CRYSTALLINE STANDARD,AMINO ACIDS CRYSTALLINE STANDARD,INJ.
"Amino acids, crystalline standard",Inj.:,10% in 500 mL Bottle (IV Infusion) ,B05BA01,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACIDS CRYSTALLINE STANDARD,AMINO ACIDS CRYSTALLINE STANDARD,INJ.
"Amino acids, crystalline standard",Inj.:,10% in 1 L Bottle (IV Infusion) ,B05BA01,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACIDS CRYSTALLINE STANDARD,AMINO ACIDS CRYSTALLINE STANDARD,INJ.
"Amino acids, crystalline standard",Inj.:,11.4% in 100 mL Bottle (IV Infusion) ,B05BA01,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACIDS CRYSTALLINE STANDARD,AMINO ACIDS CRYSTALLINE STANDARD,INJ.
"Amino acids, crystalline standard",Inj.:,11.4% in 500 mL Bottle (IV Infusion) ,B05BA01,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACIDS CRYSTALLINE STANDARD,AMINO ACIDS CRYSTALLINE STANDARD,INJ.
"Amino acids, crystalline standard",Inj.:,11.4% in 1 L Bottle (IV Infusion) ,B05BA01,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACIDS CRYSTALLINE STANDARD,AMINO ACIDS CRYSTALLINE STANDARD,INJ.
"Amino acids, crystalline standard",Inj.:,8% (as Branched chain) in 500 mL Bottle (IV Infusion) ,B05BA01,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACIDS CRYSTALLINE STANDARD,AMINO ACIDS CRYSTALLINE STANDARD,INJ.
"Amino acids, crystalline standard",Inj.:,9.12% in 20 mL Ampul (IV Infusion) ,B05BA01,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACIDS CRYSTALLINE STANDARD,AMINO ACIDS CRYSTALLINE STANDARD,INJ.
"Amino acids, crystalline standard",Inj.:,9.12% in 200 mL Bottle (IV Infusion) ,B05BA01,,,,STREPTOKINASE,STREPTOKINASE,AMINO ACIDS CRYSTALLINE STANDARD,AMINO ACIDS CRYSTALLINE STANDARD,INJ.
Aminophylline/Theophylline ethylenediamine,Inj.:,25 mg/mL in 10 mL Ampul (IV) ,R03DA05,,,,STREPTOKINASE,STREPTOKINASE,AMINOPHYLLINE/THEOPHYLLINE ETHYLENEDIAMINE,AMINOPHYLLINE/THEOPHYLLINE ETHYLENEDIAMINE,INJ.
Amiodarone,Oral:,200 mg (as Hydrochloride) Tablet ,C01BD01,,,,STREPTOKINASE,STREPTOKINASE,AMIODARONE,AMIODARONE,PO
Amiodarone,Inj.:,50 mg/mL (as Hydrochloride) in 3 mL Ampul (IV) ,C01BD01,,,,STREPTOKINASE,STREPTOKINASE,AMIODARONE,AMIODARONE,INJ.
Amlodipine,Oral:,5 mg (as Besilate/Camsylate) Tablet *Primary Health Care,C08CA01,,,,STREPTOKINASE,STREPTOKINASE,AMLODIPINE,AMLODIPINE,PO
Amlodipine,Oral:,10 mg (as Besilate/Camsylate) Tablet *Primary Health Care,C08CA01,,,,STREPTOKINASE,STREPTOKINASE,AMLODIPINE,AMLODIPINE,PO
Amoxicillin,Oral:,250 mg (as Trihydrate) Capsule *Primary Health Care,J01CA04,,,,STREPTOKINASE,STREPTOKINASE,AMOXICILLIN,AMOXICILLIN,PO
Amoxicillin,Oral:,500 mg (as Trihydrate) Capsule *Primary Health Care,J01CA04,,,,STREPTOKINASE,STREPTOKINASE,AMOXICILLIN,AMOXICILLIN,PO
Amoxicillin,Oral:,100 mg/mL (as Trihydrate) Granules/powder for drops in 15 mL *Primary Health Care,J01CA04,,,,STREPTOKINASE,STREPTOKINASE,AMOXICILLIN,AMOXICILLIN,PO
Amoxicillin,Oral:,250 mg/5 mL (as Trihydrate) Granules/powder for suspension in 60 mL *Primary Health Care,J01CA04,,,,STREPTOKINASE,STREPTOKINASE,AMOXICILLIN,AMOXICILLIN,PO
Amoxicillin + Clavulanic acid (Co-amoxiclav),Oral:,500 mg (as Trihydrate) + 125 mg (as Potassium clavulanate) Tablet *Primary Health Care,J01CR02,,,,STREPTOKINASE,STREPTOKINASE,AMOXICILLIN + CLAVULANIC ACID (CO-AMOXICLAV),AMOXICILLIN + CLAVULANIC ACID (CO-AMOXICLAV),PO
Amoxicillin + Clavulanic acid (Co-amoxiclav),Oral:,875 mg (as Trihydrate) + 125 mg (as Potassium clavulanate) Tablet *Primary Health Care,J01CR02,,,,STREPTOKINASE,STREPTOKINASE,AMOXICILLIN + CLAVULANIC ACID (CO-AMOXICLAV),AMOXICILLIN + CLAVULANIC ACID (CO-AMOXICLAV),PO
Amoxicillin + Clavulanic acid (Co-amoxiclav),Oral:,"200 mg (as Trihydrate) + 28.5 mg (as Potassium clavulanate) per 5 mL, Granules/powder for suspension in 70 mL *Primary Health Care",J01CR02,,,,STREPTOKINASE,STREPTOKINASE,AMOXICILLIN + CLAVULANIC ACID (CO-AMOXICLAV),AMOXICILLIN + CLAVULANIC ACID (CO-AMOXICLAV),PO
Amoxicillin + Clavulanic acid (Co-amoxiclav),Oral:,"400 mg (as Trihydrate) + 57 mg (as Potassium clavulanate) per 5 mL, Granules/powder for suspension in 70 mL *Primary Health Care",J01CR02,,,,STREPTOKINASE,STREPTOKINASE,AMOXICILLIN + CLAVULANIC ACID (CO-AMOXICLAV),AMOXICILLIN + CLAVULANIC ACID (CO-AMOXICLAV),PO
Amoxicillin + Clavulanic acid (Co-amoxiclav),Oral:,"600 mg (as Trihydrate) + 42.9 mg (as Potassium clavulanate) per 5 mL, Granules/powder for suspension *Primary Health Care",J01CR02,,,,STREPTOKINASE,STREPTOKINASE,AMOXICILLIN + CLAVULANIC ACID (CO-AMOXICLAV),AMOXICILLIN + CLAVULANIC ACID (CO-AMOXICLAV),PO
Amphotericin B *Reserve antimicrobial,Inj.:,"50 mg (as Cholesteryl complex, colloidal dispersion) Vial (Lipid complex) ",A07AA07 ,,,,STREPTOKINASE,STREPTOKINASE,AMPHOTERICIN B RESERVE ANTIMICROBIAL,AMPHOTERICIN B RESERVE ANTIMICROBIAL,INJ.
Amphotericin B *Reserve antimicrobial,Inj.:,"100 mg (as Cholesteryl complex, colloidal dispersion) Vial (Lipid complex) ",A07AA07 ,,,,STREPTOKINASE,STREPTOKINASE,AMPHOTERICIN B RESERVE ANTIMICROBIAL,AMPHOTERICIN B RESERVE ANTIMICROBIAL,INJ.
Amphotericin B *Reserve antimicrobial,Inj.:,50 mg Vial (Non-lipid complex) ,A07AA07 ,,,,STREPTOKINASE,STREPTOKINASE,AMPHOTERICIN B RESERVE ANTIMICROBIAL,AMPHOTERICIN B RESERVE ANTIMICROBIAL,INJ.
Ampicillin,Inj.:,"250 mg (as Sodium) Vial (IM, IV) *Primary Health Care",J01CA01,,,,STREPTOKINASE,STREPTOKINASE,AMPICILLIN,AMPICILLIN,INJ.
Ampicillin,Inj.:,"500 mg (as Sodium) Vial (IM, IV) *Primary Health Care",J01CA01,,,,STREPTOKINASE,STREPTOKINASE,AMPICILLIN,AMPICILLIN,INJ.
Ampicillin,Inj.:,"1 g (as Sodium) Vial (IM, IV) *Primary Health Care",J01CA01,,,,STREPTOKINASE,STREPTOKINASE,AMPICILLIN,AMPICILLIN,INJ.
Ampicillin + Sulbactam,Inj.:,"500 mg (as Sodium) + 250 mg Vial (IM, IV) ",J01CR01,,,,STREPTOKINASE,STREPTOKINASE,AMPICILLIN + SULBACTAM,AMPICILLIN + SULBACTAM,INJ.
Ampicillin + Sulbactam,Inj.:,"1000 mg (as Sodium) + 500 mg Vial (IM, IV) ",J01CR01,,,,STREPTOKINASE,STREPTOKINASE,AMPICILLIN + SULBACTAM,AMPICILLIN + SULBACTAM,INJ.
Ampicillin + Sulbactam,Inj.:,"2000 mg (as Sodium) + 1000 mg Vial (IM, IV) ",J01CR01,,,,STREPTOKINASE,STREPTOKINASE,AMPICILLIN + SULBACTAM,AMPICILLIN + SULBACTAM,INJ.
Anastrozole,Oral:,1 mg Film-coated tablet ,L02BG03,,,,STREPTOKINASE,STREPTOKINASE,ANASTROZOLE,ANASTROZOLE,PO
Anti-D immunoglobulin (Human anti-D immunoglobulin),Inj.:,200 mcg/mL in 1.5 mL Ampul (IM) ,J06BB01,,,,STREPTOKINASE,STREPTOKINASE,ANTI-D IMMUNOGLOBULIN (HUMAN ANTI-D IMMUNOGLOBULIN),ANTI-D IMMUNOGLOBULIN (HUMAN ANTI-D IMMUNOGLOBULIN),INJ.
Antilymphocyte Immunoglobulin (ALG),Inj.:,100 mg/5 mL Vial (IV) (Equine) ,"L04AA03
",,,,STREPTOKINASE,STREPTOKINASE,ANTILYMPHOCYTE IMMUNOGLOBULIN (ALG),ANTILYMPHOCYTE IMMUNOGLOBULIN (ALG),INJ.
Anti-rabies serum,Inj.:,200 IU/mL in 5 mL Vial (IM) (Equine) *Primary Health Care,J06BB05,,,,STREPTOKINASE,STREPTOKINASE,ANTI-RABIES SERUM,ANTI-RABIES SERUM,INJ.
Anti-rabies serum,Inj.:,400 IU/mL in 5 mL Vial (IM) (Equine) *Primary Health Care,J06BB05,,,,STREPTOKINASE,STREPTOKINASE,ANTI-RABIES SERUM,ANTI-RABIES SERUM,INJ.
Anti-tetanus serum,Inj.:,4000 IU/mL in 2.5 mL Vial (IM) (Equine) *Primary Health Care,J06AA02,,,,STREPTOKINASE,STREPTOKINASE,ANTI-TETANUS SERUM,ANTI-TETANUS SERUM,INJ.
Anti-tetanus serum,Inj.:,1500 IU/0.7 mL Solution for injection Ampul/Vial (IM) (Equine) *Primary Health Care,J06AA02,,,,STREPTOKINASE,STREPTOKINASE,ANTI-TETANUS SERUM,ANTI-TETANUS SERUM,INJ.
Anti-tetanus serum,Inj.:,1500 IU/mL in 1 mL Ampul/Vial (IM) (Equine) *Primary Health Care,J06AA02,,,,STREPTOKINASE,STREPTOKINASE,ANTI-TETANUS SERUM,ANTI-TETANUS SERUM,INJ.
Anti-tetanus serum,Inj.:,1500 IU/mL in 1.5 mL Ampul/Vial (IM) (Equine) *Primary Health Care,J06AA02,,,,STREPTOKINASE,STREPTOKINASE,ANTI-TETANUS SERUM,ANTI-TETANUS SERUM,INJ.
Antithymocyte Immunoglobulin (ATG),Inj.:,25 mg/5 mL Vial (IV) (Rabbit) ,L04AA04,,,,STREPTOKINASE,STREPTOKINASE,ANTITHYMOCYTE IMMUNOGLOBULIN (ATG),ANTITHYMOCYTE IMMUNOGLOBULIN (ATG),INJ.
Apixaban,Oral:,2.5 mg Film-coated tablet ,B01AF02 ,,,,STREPTOKINASE,STREPTOKINASE,APIXABAN,APIXABAN,PO
Apixaban,Oral:,5 mg Film-coated tablet ,B01AF02 ,,,,STREPTOKINASE,STREPTOKINASE,APIXABAN,APIXABAN,PO
